module,module_title,question_id,question,option_a,option_b,option_c,option_d,correct_answer,answer_explanation,skill_signal
12,AI for Decision Support and Critical Thinking,M12-Q04,Why should this module include a scenario lab?,It makes the course longer,It replaces the need for assessment,"It helps learners transfer decision memos, assumptions, and tradeoff analysis into realistic work, study, or business contexts",It lets learners skip reflection,C,Scenario labs are a key difference between generic awareness and applied professional training.,transfer
12,AI for Decision Support and Critical Thinking,M12-Q05,What should happen after a learner fails the Module 12 checkpoint?,Mark the module complete anyway,Send the learner back to the whole course from the beginning,Show targeted remediation and suggest the relevant lesson blocks before retry,Hide the answer explanations permanently,C,"Remediation should be specific, supportive, and tied to weak areas.",remediation
12,AI for Decision Support and Critical Thinking,M12-Q06,Which answer best reflects Jifunze's certificate standard for Module 12?,Completion means time spent on the page,"Completion means demonstrated knowledge, practical output, and reviewable evidence",Completion means watching a video only,Completion means asking AI for a final answer,B,Certificate credibility depends on demonstrated skill and evidence.,certificate_readiness
12,AI for Decision Support and Critical Thinking,M12-Q07,What should the platform track from this module?,Only whether the learner clicked next,"Weak areas, artifact completion, quiz performance, and suggested next practice",Only the learner's email address,Only how many times AI was used,B,Learner intelligence should help the platform support progress and remediation.,learner_intelligence
12,AI for Decision Support and Critical Thinking,M12-Q08,Which module output is most aligned with top 10-15% course quality?,A vague reflection with no example,A polished but unverified AI-generated response,"A practical artifact applying decision memos, assumptions, and tradeoff analysis, with checks, revision, and explanation",A screenshot of the lesson title,C,A top-market course requires usable outputs that show process and quality control.,portfolio
13,AI Collaboration in Teams and Organizations,M13-Q01,"Which behavior best shows strong understanding of team norms, review loops, and shared standards?",Using AI output without review,Using AI only when it gives a perfect answer,"Applying AI support while checking context, limits, and evidence related to team norms, review loops, and shared standards",Avoiding AI completely,C,"The course standard is practical use with human review, especially when applying team norms, review loops, and shared standards.",judgment
13,AI Collaboration in Teams and Organizations,M13-Q02,A learner is completing Module 13. What should count as strongest evidence of completion?,Reading every paragraph once,"Saving a reviewable artifact that shows process, checks, and improvement",Opening the lesson page,Copying an AI answer into a document,B,"Top-market completion requires evidence of applied learning, not passive reading.",artifact_quality
13,AI Collaboration in Teams and Organizations,M13-Q03,What is the safest way to use an AI coach prompt in this module?,Ask the AI to do the entire assignment,Ask the AI to critique and question the learner's draft while the learner keeps ownership,Ignore all AI feedback,Submit the first AI-generated answer,B,"The learner should use AI for feedback and improvement, not replacement of their own judgment.",responsible_use
13,AI Collaboration in Teams and Organizations,M13-Q04,Why should this module include a scenario lab?,It makes the course longer,It replaces the need for assessment,"It helps learners transfer team norms, review loops, and shared standards into realistic work, study, or business contexts",It lets learners skip reflection,C,Scenario labs are a key difference between generic awareness and applied professional training.,transfer
13,AI Collaboration in Teams and Organizations,M13-Q05,What should happen after a learner fails the Module 13 checkpoint?,Mark the module complete anyway,Send the learner back to the whole course from the beginning,Show targeted remediation and suggest the relevant lesson blocks before retry,Hide the answer explanations permanently,C,"Remediation should be specific, supportive, and tied to weak areas.",remediation
13,AI Collaboration in Teams and Organizations,M13-Q06,Which answer best reflects Jifunze's certificate standard for Module 13?,Completion means time spent on the page,"Completion means demonstrated knowledge, practical output, and reviewable evidence",Completion means watching a video only,Completion means asking AI for a final answer,B,Certificate credibility depends on demonstrated skill and evidence.,certificate_readiness
13,AI Collaboration in Teams and Organizations,M13-Q07,What should the platform track from this module?,Only whether the learner clicked next,"Weak areas, artifact completion, quiz performance, and suggested next practice",Only the learner's email address,Only how many times AI was used,B,Learner intelligence should help the platform support progress and remediation.,learner_intelligence
13,AI Collaboration in Teams and Organizations,M13-Q08,Which module output is most aligned with top 10-15% course quality?,A vague reflection with no example,A polished but unverified AI-generated response,"A practical artifact applying team norms, review loops, and shared standards, with checks, revision, and explanation",A screenshot of the lesson title,C,A top-market course requires usable outputs that show process and quality control.,portfolio
14,"Building Reusable AI Systems, Prompt Packs, and Playbooks",M14-Q01,"Which behavior best shows strong understanding of reusable systems, prompt packs, and operating playbooks?",Using AI output without review,Using AI only when it gives a perfect answer,"Applying AI support while checking context, limits, and evidence related to reusable systems, prompt packs, and operating playbooks",Avoiding AI completely,C,"The course standard is practical use with human review, especially when applying reusable systems, prompt packs, and operating playbooks.",judgment
14,"Building Reusable AI Systems, Prompt Packs, and Playbooks",M14-Q02,A learner is completing Module 14. What should count as strongest evidence of completion?,Reading every paragraph once,"Saving a reviewable artifact that shows process, checks, and improvement",Opening the lesson page,Copying an AI answer into a document,B,"Top-market completion requires evidence of applied learning, not passive reading.",artifact_quality
14,"Building Reusable AI Systems, Prompt Packs, and Playbooks",M14-Q03,What is the safest way to use an AI coach prompt in this module?,Ask the AI to do the entire assignment,Ask the AI to critique and question the learner's draft while the learner keeps ownership,Ignore all AI feedback,Submit the first AI-generated answer,B,"The learner should use AI for feedback and improvement, not replacement of their own judgment.",responsible_use
14,"Building Reusable AI Systems, Prompt Packs, and Playbooks",M14-Q04,Why should this module include a scenario lab?,It makes the course longer,It replaces the need for assessment,"It helps learners transfer reusable systems, prompt packs, and operating playbooks into realistic work, study, or business contexts",It lets learners skip reflection,C,Scenario labs are a key difference between generic awareness and applied professional training.,transfer
14,"Building Reusable AI Systems, Prompt Packs, and Playbooks",M14-Q05,What should happen after a learner fails the Module 14 checkpoint?,Mark the module complete anyway,Send the learner back to the whole course from the beginning,Show targeted remediation and suggest the relevant lesson blocks before retry,Hide the answer explanations permanently,C,"Remediation should be specific, supportive, and tied to weak areas.",remediation
14,"Building Reusable AI Systems, Prompt Packs, and Playbooks",M14-Q06,Which answer best reflects Jifunze's certificate standard for Module 14?,Completion means time spent on the page,"Completion means demonstrated knowledge, practical output, and reviewable evidence",Completion means watching a video only,Completion means asking AI for a final answer,B,Certificate credibility depends on demonstrated skill and evidence.,certificate_readiness
14,"Building Reusable AI Systems, Prompt Packs, and Playbooks",M14-Q07,What should the platform track from this module?,Only whether the learner clicked next,"Weak areas, artifact completion, quiz performance, and suggested next practice",Only the learner's email address,Only how many times AI was used,B,Learner intelligence should help the platform support progress and remediation.,learner_intelligence
14,"Building Reusable AI Systems, Prompt Packs, and Playbooks",M14-Q08,Which module output is most aligned with top 10-15% course quality?,A vague reflection with no example,A polished but unverified AI-generated response,"A practical artifact applying reusable systems, prompt packs, and operating playbooks, with checks, revision, and explanation",A screenshot of the lesson title,C,A top-market course requires usable outputs that show process and quality control.,portfolio
15,"Privacy, Risk, Boundaries, and Safe Operational Use",M15-Q01,"Which behavior best shows strong understanding of privacy, sensitive data, and operational safety?",Using AI output without review,Using AI only when it gives a perfect answer,"Applying AI support while checking context, limits, and evidence related to privacy, sensitive data, and operational safety",Avoiding AI completely,C,"The course standard is practical use with human review, especially when applying privacy, sensitive data, and operational safety.",judgment
15,"Privacy, Risk, Boundaries, and Safe Operational Use",M15-Q02,A learner is completing Module 15. What should count as strongest evidence of completion?,Reading every paragraph once,"Saving a reviewable artifact that shows process, checks, and improvement",Opening the lesson page,Copying an AI answer into a document,B,"Top-market completion requires evidence of applied learning, not passive reading.",artifact_quality
15,"Privacy, Risk, Boundaries, and Safe Operational Use",M15-Q03,What is the safest way to use an AI coach prompt in this module?,Ask the AI to do the entire assignment,Ask the AI to critique and question the learner's draft while the learner keeps ownership,Ignore all AI feedback,Submit the first AI-generated answer,B,"The learner should use AI for feedback and improvement, not replacement of their own judgment.",responsible_use
15,"Privacy, Risk, Boundaries, and Safe Operational Use",M15-Q04,Why should this module include a scenario lab?,It makes the course longer,It replaces the need for assessment,"It helps learners transfer privacy, sensitive data, and operational safety into realistic work, study, or business contexts",It lets learners skip reflection,C,Scenario labs are a key difference between generic awareness and applied professional training.,transfer
15,"Privacy, Risk, Boundaries, and Safe Operational Use",M15-Q05,What should happen after a learner fails the Module 15 checkpoint?,Mark the module complete anyway,Send the learner back to the whole course from the beginning,Show targeted remediation and suggest the relevant lesson blocks before retry,Hide the answer explanations permanently,C,"Remediation should be specific, supportive, and tied to weak areas.",remediation
15,"Privacy, Risk, Boundaries, and Safe Operational Use",M15-Q06,Which answer best reflects Jifunze's certificate standard for Module 15?,Completion means time spent on the page,"Completion means demonstrated knowledge, practical output, and reviewable evidence",Completion means watching a video only,Completion means asking AI for a final answer,B,Certificate credibility depends on demonstrated skill and evidence.,certificate_readiness
15,"Privacy, Risk, Boundaries, and Safe Operational Use",M15-Q07,What should the platform track from this module?,Only whether the learner clicked next,"Weak areas, artifact completion, quiz performance, and suggested next practice",Only the learner's email address,Only how many times AI was used,B,Learner intelligence should help the platform support progress and remediation.,learner_intelligence
15,"Privacy, Risk, Boundaries, and Safe Operational Use",M15-Q08,Which module output is most aligned with top 10-15% course quality?,A vague reflection with no example,A polished but unverified AI-generated response,"A practical artifact applying privacy, sensitive data, and operational safety, with checks, revision, and explanation",A screenshot of the lesson title,C,A top-market course requires usable outputs that show process and quality control.,portfolio
16,Capstone - Designing an AI-Supported Workflow from End to End,M16-Q01,Which behavior best shows strong understanding of portfolio capstone and end-to-end workflow design?,Using AI output without review,Using AI only when it gives a perfect answer,"Applying AI support while checking context, limits, and evidence related to portfolio capstone and end-to-end workflow design",Avoiding AI completely,C,"The course standard is practical use with human review, especially when applying portfolio capstone and end-to-end workflow design.",judgment
16,Capstone - Designing an AI-Supported Workflow from End to End,M16-Q02,A learner is completing Module 16. What should count as strongest evidence of completion?,Reading every paragraph once,"Saving a reviewable artifact that shows process, checks, and improvement",Opening the lesson page,Copying an AI answer into a document,B,"Top-market completion requires evidence of applied learning, not passive reading.",artifact_quality
16,Capstone - Designing an AI-Supported Workflow from End to End,M16-Q03,What is the safest way to use an AI coach prompt in this module?,Ask the AI to do the entire assignment,Ask the AI to critique and question the learner's draft while the learner keeps ownership,Ignore all AI feedback,Submit the first AI-generated answer,B,"The learner should use AI for feedback and improvement, not replacement of their own judgment.",responsible_use
16,Capstone - Designing an AI-Supported Workflow from End to End,M16-Q04,Why should this module include a scenario lab?,It makes the course longer,It replaces the need for assessment,"It helps learners transfer portfolio capstone and end-to-end workflow design into realistic work, study, or business contexts",It lets learners skip reflection,C,Scenario labs are a key difference between generic awareness and applied professional training.,transfer
16,Capstone - Designing an AI-Supported Workflow from End to End,M16-Q05,What should happen after a learner fails the Module 16 checkpoint?,Mark the module complete anyway,Send the learner back to the whole course from the beginning,Show targeted remediation and suggest the relevant lesson blocks before retry,Hide the answer explanations permanently,C,"Remediation should be specific, supportive, and tied to weak areas.",remediation
16,Capstone - Designing an AI-Supported Workflow from End to End,M16-Q06,Which answer best reflects Jifunze's certificate standard for Module 16?,Completion means time spent on the page,"Completion means demonstrated knowledge, practical output, and reviewable evidence",Completion means watching a video only,Completion means asking AI for a final answer,B,Certificate credibility depends on demonstrated skill and evidence.,certificate_readiness
16,Capstone - Designing an AI-Supported Workflow from End to End,M16-Q07,What should the platform track from this module?,Only whether the learner clicked next,"Weak areas, artifact completion, quiz performance, and suggested next practice",Only the learner's email address,Only how many times AI was used,B,Learner intelligence should help the platform support progress and remediation.,learner_intelligence
16,Capstone - Designing an AI-Supported Workflow from End to End,M16-Q08,Which module output is most aligned with top 10-15% course quality?,A vague reflection with no example,A polished but unverified AI-generated response,"A practical artifact applying portfolio capstone and end-to-end workflow design, with checks, revision, and explanation",A screenshot of the lesson title,C,A top-market course requires usable outputs that show process and quality control.,portfolio
